Popularity,Market Category,Market Category,,,,,,,,,,,,,,,,,,,,,,,,
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Hatchback,Factory Tuner,High-Performance",13,13
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Hatchback,Factory Tuner,Luxury,Performance",9,9
3105,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Hatchback,Factory Tuner,Performance",22,22
3105,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,"Hatchback,Flex Fuel",7,7
3105,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,"Hatchback,Hybrid",72,72
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,"Hatchback,Luxury",46,46
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,"Hatchback,Luxury,Hybrid",3,3
1013,"Flex Fuel,Performance","Flex Fuel,Performance",,,,,,,,,,,,,,,,,,,,,,"Hatchback,Luxury,Performance",38,38
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,"Hatchback,Performance",252,252
1013,"Flex Fuel,Performance","Flex Fuel,Performance",,,,,,,,,,,,,,,,,,,,,,High-Performance,199,199
1013,"Flex Fuel,Performance","Flex Fuel,Performance",,,,,,,,,,,,,,,,,,,,,,Hybrid,123,123
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,Luxury,855,855
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,"Luxury,High-Performance",334,334
1013,"Flex Fuel,Performance","Flex Fuel,Performance",,,,,,,,,,,,,,,,,,,,,,"Luxury,High-Performance,Hybrid",12,12
1013,"Flex Fuel,Performance","Flex Fuel,Performance",,,,,,,,,,,,,,,,,,,,,,"Luxury,Hybrid",52,52
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,"Luxury,Performance",673,673
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,"Luxury,Performance,Hybrid",11,11
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,N/A,3742,3742
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,Performance,601,601
1013,"Flex Fuel,Performance","Flex Fuel,Performance",,,,,,,,,,,,,,,,,,,,,,"Performance,Hybrid",1,1
1013,"Flex Fuel,Performance","Flex Fuel,Performance",,,,,,,,,,,,,,,,,,,,,,Grand Total,11914,11914
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
1013,"Flex Fuel,Performance","Flex Fuel,Performance",,,,,,,,,,,,,,,,,,,,,,,,
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
1013,Flex Fuel,Flex Fuel,,,,,,,,,,,,,,,,,,,,,,,,
2009,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2009,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2009,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2009,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2009,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
870,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Hatchback,Luxury,Performance","Hatchback,Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Hatchback,Luxury","Hatchback,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Hatchback,Luxury","Hatchback,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Hatchback,Luxury","Hatchback,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Hatchback,Luxury,Performance","Hatchback,Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Hatchback,Luxury,Performance","Hatchback,Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Hatchback,Luxury","Hatchback,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,High-Performance,Hybrid","Luxury,High-Performance,Hybrid",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Luxury,High-Performance","Luxury,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
3916,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,"Luxury,Performance","Luxury,Performance",,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
617,Luxury,Luxury,,,,,,,,,,,,,,,,,,,,,,,,
436,"Hatchback,Performance","Hatchback,Performance",,,,,,,,,,,,,,,,,,,,,,,,
436,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
436,"Hatchback,Factory Tuner,Performance","Hatchback,Factory Tuner,Performance",,,,,,,,,,,,,,,,,,,,,,,,
436,"Hatchback,Factory Tuner,Performance","Hatchback,Factory Tuner,Performance",,,,,,,,,,,,,,,,,,,,,,,,
436,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
436,"Hatchback,Performance","Hatchback,Performance",,,,,,,,,,,,,,,,,,,,,,,,
436,"Hatchback,Performance","Hatchback,Performance",,,,,,,,,,,,,,,,,,,,,,,,
436,"Hatchback,Factory Tuner,Performance","Hatchback,Factory Tuner,Performance",,,,,,,,,,,,,,,,,,,,,,,,
436,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
1013,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,"Hatchback,Performance","Hatchback,Performance",,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,Performance,Performance,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
586,Hatchback,Hatchback,,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
617,"Diesel,Luxury","Diesel,Luxury",,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,"Factory Tuner,High-Performance","Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2009,High-Performance,High-Performance,,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,Factory Tuner,High-Performance","Exotic,Factory Tuner,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
2774,"Exotic,High-Performance","Exotic,High-Performance",,,,,,,,,,,,,,,,,,,,,,,,
